atomic  10000  1  3.141593 1
atomic  100000  1  3.141593 1
atomic  10000000  1  3.141593 1
atomic  20000  2  3.141593 0.137596
atomic  200000  2  3.141593 0.145221
atomic  20000000  2  3.141593 0.119166
atomic  30000  3  3.141593 0.0571772
atomic  300000  3  3.141593 0.055145
atomic  30000000  3  3.141593 0.0455795
atomic  40000  4  3.141593 0.0350872
atomic  400000  4  3.141593 0.0328274
atomic  40000000  4  3.141593 0.0257959
critical  10000  1  3.141593 1
critical  100000  1  3.141593 1
critical  10000000  1  3.141593 1
critical  20000  2  3.141553 0.130774
critical  200000  2  3.141598 0.137765
critical  20000000  2  3.141612 0.103322
critical  30000  3  3.141620 0.0766256
critical  300000  3  3.141601 0.0765567
critical  30000000  3  3.141593 0.0552966
critical  40000  4  3.141580 0.0551861
critical  400000  4  3.141594 0.0528047
critical  40000000  4  3.141592 0.0329926
sequential  10000  1  3.141593 1
sequential  100000  1  3.141593 1
sequential  10000000  1  3.141593 1
sequential  20000  2  3.141593 0.513526
sequential  200000  2  3.141593 0.550761
sequential  20000000  2  3.141593 0.585608
sequential  30000  3  3.141593 0.345106
sequential  300000  3  3.141593 0.392257
sequential  30000000  3  3.141593 0.370485
sequential  40000  4  3.141593 0.25618
sequential  400000  4  3.141593 0.273851
sequential  40000000  4  3.141593 0.276201
